what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311911881489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911884156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911886750
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311911887046
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311911887187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311911887849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311911888469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311911890348
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311911892694
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311911895098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911896950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911908546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911912926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911917137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911921168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911929893
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311911930213
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311911930379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311911930995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311911931536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311911933276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911933589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911943041
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311911944860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911947642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311911950382
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311911950785
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311911950996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311911951596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311911952163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311911953895
