what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913882086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913885613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913886229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913890865
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311913892503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913898316
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1311913906636
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1311913906752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913906844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913907820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913914653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913917804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913919665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913921628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913928236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311913933244
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311913936020
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311913938247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913939847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913942739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913943616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913956261
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1311913959376
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311913961111
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311913961112
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1311913961132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913967457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913970459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913974754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311913980943
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311913981450
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311913981622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311913982437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311913982919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311913984640
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311913986629
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311913988739
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311913990273
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311914015644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914016850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914029380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914033899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914037840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914042267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914044643
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311914045005
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311914045179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311914046069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311914046726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311914048328
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311914049615
