what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914957240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914960595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914965770
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311914966188
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311914966426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311914966969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311914967676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914971359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914975546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311914976876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311914978211
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311914981901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1311914986236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311914991129
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311914993075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311914994252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915002500
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311915003927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915008693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915018187
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311915018711
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311915018972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311915019902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311915020412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311915022217
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311915024167
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311915026502
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1311915027670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915028210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915037660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915042897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915049359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915051383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915052901
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311915054533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915055593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915077206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915078874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915081350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915084692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915087410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915091563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915099618
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311915100022
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311915100208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311915100929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311915101557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311915103717
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311915105703
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311915107994
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1311915109332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915113527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915114634
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311915118200
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311915120419
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1311915121490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915126427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915140635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915141033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311915142289
